iter	Passed	Remaining
316	2745	5915
317	2752	5902
318	2759	5889
319	2765	5876
320	2772	5863
321	2778	5851
322	2785	5837
323	2793	5829
324	2802	5820
325	2809	5808
326	2815	5795
327	2821	5780
328	2827	5766
329	2834	5754
330	2848	5756
331	2854	5743
332	2864	5737
333	2871	5725
334	2879	5715
335	2885	5703
336	2893	5692
337	2899	5679
338	2906	5667
339	2913	5655
340	2920	5644
341	2928	5634
342	2936	5624
343	2943	5613
344	2951	5603
345	2959	5593
346	2967	5583
347	2976	5575
348	2985	5568
349	2994	5561
350	3003	5554
351	3012	5544
352	3024	5542
353	3032	5534
354	3040	5525
355	3049	5516
356	3057	5507
357	3065	5497
358	3076	5492
359	3085	5485
360	3092	5474
361	3100	5463
362	3107	5453
363	3114	5442
364	3121	5430
365	3129	5420
366	3136	5409
367	3143	5397
368	3152	5390
369	3159	5378
370	3166	5368
371	3174	5358
372	3182	5349
373	3188	5337
374	3195	5325
375	3203	5317
376	3211	5306
377	3218	5296
378	3225	5285
379	3232	5274
380	3239	5263
381	3246	5252
382	3251	5237
383	3258	5227
384	3265	5215
385	3272	5205
386	3280	5195
387	3286	5184
388	3293	5173
389	3301	5163
390	3307	5151
391	3314	5141
392	3322	5131
393	3328	5120
394	3336	5109
395	3343	5099
396	3350	5089
397	3358	5079
398	3366	5070
399	3370	5055
400	3377	5045
401	3385	5036
402	3392	5025
403	3399	5015
404	3407	5006
405	3415	4997
406	3424	4988
407	3432	4980
408	3440	4972
409	3448	4962
410	3456	4954
411	3464	4944
412	3472	4936
413	3481	4928
414	3490	4920
415	3498	4911
416	3508	4905
417	3518	4898
418	3528	4892
419	3536	4883
420	3544	4874
421	3553	4866
422	3563	4861
423	3570	4850
424	3577	4840
425	3586	4831
426	3593	4822
427	3600	4811
428	3607	4801
429	3614	4790
430	3620	4779
431	3626	4768
432	3634	4758
433	3644	4752
434	3650	4741
435	3658	4732
436	3665	4722
437	3673	4712
438	3679	4702
439	3686	4692
440	3693	4682
441	3701	4672
442	3707	4661
443	3714	4651
444	3721	4642
445	3729	4632
446	3736	4622
447	3743	4612
448	3749	4601
449	3756	4591
450	3763	4581
451	3770	4571
452	3777	4561
453	3784	4551
454	3791	4541
455	3799	4532
456	3806	4523
457	3813	4513
458	3820	4503
459	3825	4490
460	3832	4480
461	3839	4470
462	3846	4460
463	3853	4451
464	3860	4441
465	3867	4431
466	3874	4422
467	3881	4412
468	3889	4403
469	3897	4394
470	3906	4387
471	3915	4379
472	3923	4371
473	3932	4363
474	3941	4355
475	3950	4348
476	3958	4340
477	3967	4332
478	3975	4324
479	3984	4317
480	3993	4308
481	4001	4300
482	4009	4292
483	4017	4283
484	4026	4275
485	4036	4268
486	4046	4262
487	4054	4253
488	4061	4244
489	4068	4234
490	4078	4228
491	4085	4217
492	4092	4208
493	4100	4199
494	4106	4189
495	4113	4180
496	4120	4170
497	4127	4160
498	4135	4151
499	4142	4142
500	4149	4132
501	4156	4123
502	4163	4113
503	4170	4104
504	4177	4094
505	4184	4085
506	4191	4075
507	4198	4066
508	4205	4056
509	4212	4046
510	4219	4037
511	4226	4028
512	4235	4021
513	4242	4011
514	4249	4002
515	4256	3992
516	4262	3981
517	4273	3976
518	4279	3965
519	4288	3958
520	4300	3953
521	4309	3946
522	4318	3938
523	4326	3929
524	4334	3921
525	4341	3912
526	4353	3907
527	4361	3898
528	4371	3892
529	4379	3883
530	4386	3874
531	4400	3871
532	4412	3866
533	4421	3858
534	4428	3849
535	4438	3842
536	4447	3834
537	4455	3826
538	4463	3817
539	4471	3809
540	4480	3801
541	4488	3792
542	4497	3785
543	4505	3776
544	4513	3768
545	4521	3759
546	4528	3750
547	4535	3741
548	4542	3731
549	4549	3722
550	4558	3714
551	4565	3705
552	4572	3696
553	4580	3687
554	4587	3678
555	4594	3668
556	4601	3659
557	4608	3650
558	4616	3642
559	4627	3636
560	4636	3628
561	4644	3619
562	4653	3611
563	4662	3604
564	4672	3597
565	4680	3588
566	4689	3581
567	4699	3573
568	4710	3567
569	4719	3560
570	4726	3551
571	4735	3543
572	4743	3534
573	4751	3526
574	4760	3518
575	4769	3510
576	4776	3501
577	4782	3491
578	4790	3482
579	4796	3473
580	4803	3463
581	4810	3454
582	4817	3445
583	4824	3436
584	4831	3427
585	4838	3418
586	4845	3408
587	4852	3400
588	4860	3391
589	4868	3383
590	4878	3375
591	4886	3368
592	4899	3362
593	4908	3354
594	4917	3347
595	4925	3338
596	4937	3333
597	4947	3326
598	4957	3318
599	4965	3310
600	4974	3302
601	4982	3294
602	4988	3284
603	4995	3275
604	5003	3266
605	5011	3258
606	5018	3249
607	5025	3240
608	5033	3231
609	5040	3222
610	5047	3213
611	5055	3205
612	5062	3195
613	5069	3187
614	5076	3177
615	5084	3169
616	5090	3160
617	5097	3151
618	5107	3143
619	5116	3135
620	5124	3127
621	5133	3119
622	5141	3111
623	5147	3101
624	5154	3092
625	5163	3084
626	5173	3077
627	5182	3069
628	5192	3062
629	5206	3057
630	5218	3051
631	5227	3044
632	5242	3039
633	5251	3031
634	5259	3023
635	5268	3015
636	5275	3006
637	5283	2998
638	5291	2989
639	5298	2980
640	5305	2971
641	5313	2962
642	5321	2954
643	5329	2946
644	5335	2936
645	5343	2927
646	5349	2918
647	5357	2909
648	5368	2903
649	5376	2894
650	5382	2885
651	5390	2877
652	5397	2868
653	5404	2859
654	5411	2850
655	5418	2841
656	5425	2832
657	5433	2824
658	5443	2816
659	5451	2808
660	5461	2801
661	5472	2794
662	5476	2783
663	5487	2776
664	5499	2770
665	5509	2763
666	5518	2755
667	5528	2747
668	5537	2739
669	5545	2731
670	5553	2722
671	5561	2714
672	5569	2706
673	5578	2698
674	5585	2689
675	5592	2680
676	5599	2671
677	5606	2662
678	5613	2653
679	5619	2644
680	5628	2636
681	5636	2627
682	5642	2619
683	5649	2610
684	5656	2601
685	5660	2591
686	5667	2582
687	5674	2573
688	5682	2564
689	5688	2555
690	5695	2547
691	5702	2538
692	5709	2529
693	5716	2520
694	5723	2511
695	5730	2502
696	5737	2494
697	5744	2485
698	5751	2476
699	5758	2468
700	5766	2459
701	5775	2451
702	5785	2444
703	5794	2436
704	5802	2428
705	5809	2419
706	5817	2410
707	5825	2402
708	5833	2394
709	5842	2386
710	5850	2377
711	5859	2369
712	5866	2361
713	5874	2353
714	5882	2344
715	5890	2336
716	5898	2328
717	5906	2319
718	5913	2311
719	5920	2302
720	5927	2293
721	5935	2285
722	5941	2276
723	5948	2267
724	5955	2258
725	5962	2250
726	5969	2241
727	5976	2233
728	5982	2224
729	5988	2214
730	5994	2205
731	6000	2196
732	6009	2188
733	6016	2180
734	6022	2171
735	6030	2163
736	6037	2154
737	6044	2145
738	6051	2137
739	6058	2128
740	6066	2120
741	6072	2111
742	6079	2102
743	6087	2094
744	6095	2086
745	6104	2078
746	6114	2071
747	6123	2062
748	6131	2054
749	6142	2047
750	6150	2039
751	6159	2031
752	6167	2023
753	6176	2015
754	6184	2006
755	6192	1998
756	6200	1990
757	6209	1982
758	6217	1974
759	6222	1964
760	6230	1956
761	6235	1947
762	6243	1939
763	6250	1930
764	6257	1922
765	6264	1913
766	6271	1905
767	6278	1896
768	6285	1888
769	6292	1879
770	6299	1871
771	6307	1862
772	6314	1854
773	6321	1845
774	6328	1837
775	6335	1828
776	6342	1820
777	6350	1811
778	6356	1803
779	6363	1794
780	6368	1785
781	6375	1777
782	6382	1768
783	6389	1760
784	6396	1751
785	6403	1743
786	6409	1734
787	6416	1726
788	6423	1717
789	6430	1709
790	6438	1701
791	6445	1692
792	6453	1684
793	6461	1676
794	6471	1668
795	6482	1661
796	6499	1655
797	6524	1651
798	6541	1645
799	6567	1641
800	6585	1636
801	6601	1629
802	6616	1623
803	6630	1616
804	6642	1609
805	6654	1601
806	6665	1594
807	6673	1585
808	6680	1577
809	6688	1568
810	6695	1560
811	6702	1551
812	6709	1543
813	6716	1534
814	6723	1526
815	6731	1517
816	6739	1509
817	6746	1501
818	6754	1492
819	6761	1484
820	6768	1475
821	6775	1467
822	6783	1458
823	6790	1450
824	6800	1442
825	6808	1434
826	6818	1426
827	6826	1418
828	6839	1410
829	6847	1402
830	6855	1394
831	6863	1385
832	6872	1377
833	6879	1369
834	6891	1361
835	6903	1354
836	6913	1346
837	6930	1339
838	6938	1331
839	6949	1323
840	6959	1315
841	6972	1308
842	6990	1301
843	7007	1295
844	7019	1287
845	7036	1280
846	7052	1273
847	7061	1265
848	7068	1257
849	7077	1248
850	7088	1241
851	7103	1233
852	7118	1226
853	7131	1219
854	7139	1210
855	7148	1202
856	7161	1194
857	7171	1186
858	7183	1179
859	7193	1171
860	7200	1162
861	7208	1154
862	7215	1145
863	7221	1136
864	7227	1128
865	7235	1119
866	7243	1111
867	7250	1102
868	7262	1094
869	7269	1086
870	7275	1077
871	7282	1068
872	7290	1060
873	7297	1052
874	7306	1043
875	7315	1035
876	7324	1027
877	7332	1018
878	7340	1010
879	7348	1002
880	7358	993
881	7369	985
882	7377	977
883	7387	969
884	7394	960
885	7403	952
886	7413	944
887	7421	936
888	7430	927
889	7438	919
890	7444	910
891	7453	902
892	7460	893
893	7464	885
894	7471	876
895	7477	867
896	7484	859
897	7491	850
898	7498	842
899	7504	833
900	7512	825
901	7520	817
902	7526	808
903	7533	800
904	7540	791
905	7548	783
906	7555	774
907	7562	766
908	7569	757
909	7576	749
910	7583	740
911	7590	732
912	7596	723
913	7604	715
914	7611	707
915	7618	698
916	7624	690
917	7631	681
918	7638	673
919	7645	664
920	7652	656
921	7659	648
922	7666	639
923	7673	631
924	7682	622
925	7689	614
926	7696	606
927	7707	597
928	7715	589
929	7723	581
930	7731	573
931	7742	564
932	7755	556
933	7765	548
934	7772	540
935	7781	532
936	7790	523
937	7797	515
938	7805	507
939	7813	498
940	7822	490
941	7831	482
942	7840	473
943	7849	465
944	7856	457
945	7864	448
946	7872	440
947	7878	432
948	7885	423
949	7892	415
950	7899	407
951	7906	398
952	7914	390
953	7920	381
954	7927	373
955	7934	365
956	7941	356
957	7948	348
958	7955	340
959	7962	331
960	7969	323
961	7976	315
962	7982	306
963	7989	298
964	7996	290
965	8003	281
966	8011	273
967	8018	265
968	8025	256
969	8032	248
970	8039	240
971	8046	231
972	8053	223
973	8060	215
974	8067	206
975	8074	198
976	8082	190
977	8090	181
978	8096	173
979	8104	165
980	8111	157
981	8117	148
982	8124	140
983	8131	132
984	8138	123
985	8145	115
986	8152	107
987	8159	99
988	8166	90
989	8173	82
990	8180	74
991	8187	66
992	8194	57
993	8203	49
994	8211	41
995	8218	33
996	8226	24
997	8234	16
998	8243	8
999	8251	0
